job_url,title,company,description,niveau_etudes,niveau_experience,contrat,region,competences,publication_date,via,titre_homogene,secteur,niveau_qualification
,IOT DATA Engineer / Developper | Kénitra (Maroc),,Missions principales : Concevoir et implémenter des tableaux de bord avancés dans Grafana pour visualiser les données IoT. Développer des plugins Grafana personnalisés pour répondre à des besoins...,Bac +3,De 3 à 5 ans,CDI - Télétravail : Hybride,,"compétences techniques : - os: • redhat / centos, ubuntu - sgbd: • cassandra: expertise • oracle 11g/12c/19c, dataguard, oem : confirmé • postgres : confirmé - sauvegarde / restauration / supervision : • commvault, rubrik, centreon - langages : • sql, nosql, shell scripting, ansible",2025-03-18,['Rekrute'],Data Engineer,Informatique - Internet / Multimédia,3
,DATA Analyst | Benguerir (Maroc),,"Responsibilities: Design, develop and implement secure, efficient and compliant data collection systems, ensuring data quality and integrity by identifying errors and cleaning data Develop records management and reporting processes and...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,"engineer/master or equivalent with proven experience in data science, information management, statistics",2025-03-18,['Rekrute'],Data Analyst,Enseignement / Formation,4
,Développeur Senior SQL Server Anglophone | Casablanca /Casanearshore (Maroc),,"Key Responsibilities: Database Design & Development: Design, develop, and maintain complex SQL Server databases, including writing efficient queries, stored procedures, and functions. Performance Optimization: Analyze and optimize SQL queries, indexes,...",Bac +5 et plus,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Hybride,,"required skills and qualifications: experience: at least 5+ years of experience in sql server development, including advanced knowledge of t-sql, stored procedures, triggers, and views. sql server expertise: extensive experience with sql server versions (preferably 2016 and above), including database management, performance tuning, and replication. data modeling & design: proficiency in database design, normalization, indexing strategies, and data modeling techniques. performance tuning: deep understanding of sql server performance tuning techniques, including query optimization and indexing strategies. problem solving: strong analytical skills with the ability to troubleshoot complex database issues and provide effective solutions. version control: familiarity with version control tools (e.g., git, svn). english proficiency: fluency in english (both written and spoken) is required as the team communicates primarily in english. education: a master’s degree in computer science, information technology, or a related field (or equivalent experience).",2025-03-17,['Rekrute'],Développeur SQL Server,Data,4
,Innovation Tech Lead / Architect | Technopolis (Maroc),,"Responsibilities: As part of the innovation steering group, he/she oversees technical discussions, investigations, PoCs & decisions. Ensures technical feasibility, scalability & industrialisation of ideas. He or she brings the following: •...",Bac +4,De 5 à 10 ans,CDI - Télétravail : Hybride,,data processing,2025-03-17,['Rekrute'],,Informatique,
,Business Analyste (H/F) | Rabat (Maroc),,En étant un Business Analyst Senior dans le secteur des télécommunications vous allez jouer un rôle crucial d'interface entre les équipes marketing et techniques au sein d'une équipe d'architectes...,Bac +5 et plus,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Hybride,,-bpmn (business process model and notation)                 -uml (unified modeling language)                 -dml (data modeling language)                 -diagrammes de séquence                 -capacité à formaliser des exigences complexes                 -rédaction de documents d'architecture fonctionnelle,2025-03-17,['Rekrute'],Business Analyst,Data,3
,Research Assistant - Materials Science and Modeling for Lithium-Ion Battery Applications 1 1 | Benguerir (Maroc),,"Key Responsibilities: Experimental Synthesis and Characterization: Synthesize materials for lithium-ion battery applications. Develop and implement experimental protocols in reactors (e.g., continuous stirred tank reactors, CSTRs) to optimize parameters like...",Bac +5 et plus,De 3 à 5 ans,CDD - Télétravail : Non,,"develop and execute numerical simulations (e.g., cfd) to model hydrodynamics, mass transfer, and reaction kinetics in synthesis processes. integrate experimental data with simulation results to elucidate material formation mechanisms and optimize process conditions.",2025-03-14,['Rekrute'],,Enseignement / Formation,
,DATA Analyst | Rabat (Maroc),,"Les principales missions d’un Data Analyst sont : - Consolider et traiter des données provenant de sources diverses, en assurant leur qualité et cohérence ; - Transformer et assainir les données et appliquer des analyses...",Bac +3,Débutant - Moins de 1 an,CDI - Télétravail : Non,,"- titulaire d’un diplôme bac+3 ou idéalement un bac+5 en statistiques, big data, économétrie ou informatique décisionnelle ; - une première expérience professionnelle dans un poste similaire est souhaitable.",2025-03-14,['Rekrute'],Data Analyst,Data,2
,DATA Scientist SIRH | Casablanca (Maroc),,"En tant que Data Scientist responsable du SIRH, vous contribuerez activement à la transformation digitale de la direction Capital Humain, en mettant en place des solutions de data science pour améliorer et automatiser les processus...",Bac +5 et plus,Moins de 1 an,CDI - Télétravail : Hybride,,"formation d'ingénieur en data science, statistique, ou intelligence artificielle, avec une forte appétence pour la digitalisation des processus.",2025-03-14,['Rekrute'],Data Scientist,Data,4
,Senior DevOps Specialist | Sala al Jadida (Maroc),,"Role Overview: The Senior DevOps Specialist is responsible for automating, optimizing, and ensuring the reliability of application deployment processes. This role involves configuring, maintaining, and monitoring Red Hat OpenShift environments, managing...",Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Oui 100%,,"familiarity with kafka data streaming, nosql (mongodb), and sql (postgresql).",2025-03-13,['Rekrute'],DevOps Specialist,Data,3
,Portfolio Lead | Benguerir (Maroc),,"Portfolio Lead (Industry 4.0 / Data & AI / Applications) Mission principale :Diriger et développer les programmes de formation dans un ou plusieurs domaines clés (Industrie 4.0, Data & AI, Applications) en assurant leur pertinence, leur alignement avec...",Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Non,,"compétences techniques :•    connaissance des technologies liées à l’industrie 4.0 (iiot, automatisation, data analytics, etc.)•    maîtrise des méthodes de gestion de projet et des outils de collaboration (erp, crm, outils de planification).•    compréhension des enjeux de la transformation digitale industrielle.",2025-03-11,['Rekrute'],,Enseignement / Formation,
